,team,teamkpm,dpm,wpm,vspm,gpm,cspm,dtpm,wcpm,dmpm
39,Wildcard Gaming,0.6308118644067798,2228.398889830509,2.9655016949152544,6.609303389830508,1150.2217491525423,29.46186440677966,3311.0232593220344,1.1225881355932206,2842.288052542373
40,Barrage.NA,0.584803448275862,2004.2687643678162,3.033763218390805,6.7062701149425274,1161.2633781609195,31.09936551724138,2968.2482816091956,1.1093402298850574,2675.6740459770117
41,FrostFire,0.578507142857143,2208.5937785714286,2.382964285714286,5.659407142857144,1111.1542857142856,29.388635714285716,3227.448057142857,1.0791785714285713,2682.418528571428
42,Revival,0.578438947368421,2038.8561673684212,2.627148421052631,6.085054736842105,1120.6584063157893,29.449798947368418,3118.7636452631573,1.030717894736842,2728.17285368421
43,Illinois State University,0.7519442307692307,2584.839557692307,2.4784596153846157,5.775146153846155,1227.7878576923076,29.430778846153846,3592.5840115384613,0.9937807692307692,2941.3923923076927
44,unknown team,0.595864224137931,2237.788822413793,2.5654788793103447,,1107.414714224138,29.03996724137931,3266.48279612069,0.957426724137931,
45,Bay State College,0.5632404255319149,2275.255010638298,2.8184340425531915,6.360808510638298,1104.1397425531914,29.500861702127658,3180.385376595744,1.1193510638297872,2845.905261702127
46,ANEW Esports,0.7658799999999999,2401.134962857143,2.6656714285714287,6.682411428571427,1309.8789857142856,31.930925714285706,3030.5383514285713,1.2405457142857144,2273.639411428571
47,Top Esports,0.5636,2216.4906147058823,3.1130573529411762,,1250.1755573529413,,2885.312222058823,1.6686661764705881,
48,The Spawn Esports,0.35646666666666665,1829.0308333333335,2.4758,5.441333333333333,899.6194666666667,28.952333333333332,3057.581733333333,0.9487333333333333,2323.118233333333
49,Dynasty,0.39888928571428567,1925.771575,2.813557142857143,6.153199999999999,1049.1433785714285,29.87617857142857,2904.8701535714285,1.0491,2757.017260714286
50,Team Echo Zulu,0.49330344827586214,1951.9178034482761,3.041655172413793,6.548455172413792,1115.0701586206897,31.706506896551723,2853.7011,1.1643758620689655,2536.629603448276
51,Team THRLL,0.34523157894736844,1721.839810526316,2.5572105263157896,5.96242105263158,992.1894210526317,30.363063157894736,3211.8750631578946,1.1555894736842107,2791.1377315789473
52,LowLandLions,0.3789526315789473,1811.646957894737,3.2756105263157895,7.053794736842105,1047.399205263158,31.61422105263158,2894.9642368421055,1.1931105263157893,2428.5484052631587
53,Not Academy Team,1.397125,3257.3851750000003,2.5477499999999997,5.536074999999999,1580.9532,34.066125,3415.3256499999998,0.60635,2613.312475
54,Shu Dai Xiong Gaming,0.5416652173913042,2020.0445336956516,3.115319565217391,,1233.087568478261,33.87138586956522,2922.7054923913042,1.422908695652174,
55,KT Rolster,0.33596891891891895,1758.6074337837838,3.752518918918919,7.934212162162162,1097.3470202702701,34.072327027027015,2807.7122608108107,1.7729905405405406,2499.2357959459464
56,Invictus Gaming Young,0.42985777777777784,1902.1223933333333,3.0294766666666657,,1137.0898755555556,33.02799777777778,2772.8424622222224,1.5100677777777778,
57,Suning-S,0.5237905882352941,2095.0209141176474,3.038795294117647,,1134.4455011764705,,2949.75656,1.3105717647058823,
58,LNG Academy,0.5231898876404494,1954.4531112359548,3.1616202247191008,,1192.9992280898875,32.933101123595506,2944.1505539325844,1.2867550561797751,
59,Gen.G,0.40180399999999994,1823.6943346666665,3.9668586666666656,8.559258666666667,1175.7606946666665,34.75872400000001,2658.2406093333334,1.944756,2446.2896426666666
60,Rare Atom Period,0.4442670454545455,1975.0775125,2.9856977272727274,,1153.873896590909,33.092878409090915,2946.332754545454,1.4059693181818183,
61,Victory Five,0.34249830508474577,1757.3929644067798,3.1053644067796604,,1038.5987220338984,,2899.1311220338985,1.3836491525423729,
62,Hanwha Life Esports,0.40346973684210524,2019.2306499999995,3.6419394736842112,8.205128947368424,1135.7529710526317,33.76817105263158,2928.658519736842,1.887797368421053,2613.1462052631578
63,EDG Youth Team,0.5299893617021276,2087.825439361702,3.274156382978723,,1204.5372063829786,33.218941489361704,2815.367379787234,1.4375776595744683,
64,Invictus Gaming,0.4686934426229509,2024.3411426229509,3.2194983606557384,,1156.756718032787,,2783.908,1.5402344262295085,
65,WanZhen Esports Club,0.4741795454545455,1929.4168090909093,3.0668147727272723,,1128.8982375,31.564527272727272,2905.0718147727275,1.3019261363636363,
66,T1,0.4035052631578947,1877.8774328947368,3.80688552631579,8.079113157894737,1171.2300421052632,33.82468552631578,2687.646619736842,1.7455328947368416,2316.7004434210526
67,V5 87,0.4433813186813187,1970.6939923076923,3.0363747252747255,,1132.0313714285714,32.53032197802197,2992.7920736263736,1.439085714285714,
68,Samsung Morning Stars,0.42904146341463417,1859.209448780488,3.2433634146341457,6.855436585365854,1070.8044146341463,30.97839512195122,2811.183668292683,1.1878414634146341,2413.681273170732
69,Romulea eSport,0.46998571428571434,1963.9976,3.130109523809524,6.866295238095238,1039.8497095238095,29.29594285714286,3077.8377619047615,1.285295238095238,2531.138880952381
70,Axolotl,0.38210882352941183,1886.7972352941176,2.935158823529412,6.687085294117647,1040.1282176470588,30.663052941176467,2827.193152941177,1.2730176470588235,2491.4232970588237
71,Cyberground Gaming,0.38418857142857143,1779.9758114285714,2.8536514285714287,6.6544,1016.4115342857142,30.014139999999998,2821.561794285714,1.2207114285714287,2654.35632
72,MAX,0.4117438202247191,1941.0445955056182,3.045134831460674,,1081.6421505617977,31.588565168539322,3050.744006741573,1.3085662921348313,
73,Liiv SANDBOX,0.3603424242424243,1825.670646969697,3.685207575757576,7.962387878787878,1109.0483757575757,33.76279545454545,2810.666475757576,1.848190909090909,2517.2980727272734
